iter	Logloss
0	0.6443012048
1	0.6277858542
2	0.6215021281
3	0.6195736163
4	0.6186803154
5	0.6183996287
6	0.6182994104
7	0.6181729703
8	0.6181417662
9	0.6181241837
10	0.6181067049
11	0.6181008712
12	0.6180982216
13	0.6180969847
14	0.6180916112
15	0.6180912776
16	0.6180911738
17	0.6180892411
18	0.6180892069
19	0.618088484
20	0.6180824461
21	0.6180788989
22	0.6180788231
23	0.618075119
24	0.6180732988
25	0.6180732918
26	0.6180731181
27	0.6180726168
28	0.6180716479
29	0.6180708939
30	0.6180707128
31	0.6180704656
32	0.6180703474
33	0.6180702315
34	0.6180702043
35	0.6180698022
36	0.6180696614
37	0.6180694657
38	0.6180692792
39	0.6180692723
40	0.618069251
41	0.6180692464
42	0.6180692078
43	0.6180692057
44	0.6180692024
45	0.6180692021
46	0.6180691493
47	0.6180691465
48	0.6180691429
49	0.6180691402
50	0.6180691339
51	0.6180691249
52	0.6180691221
53	0.61806912
54	0.6180691186
55	0.6180691183
56	0.6180690989
57	0.6180690969
58	0.6180690361
59	0.6180690327
60	0.6180690142
61	0.6180690109
62	0.6180690091
63	0.6180689639
64	0.6180689635
65	0.6180689633
66	0.6180689633
67	0.6180689606
68	0.61806896
69	0.61806896
70	0.6180689311
71	0.6180689293
72	0.6180689287
73	0.6180689286
74	0.6180689284
75	0.6180689284
76	0.6180689283
77	0.6180689042
78	0.618068897
79	0.6180688954
80	0.6180688762
81	0.6180688255
82	0.6180688254
83	0.618068825
84	0.6180688248
85	0.6180688246
86	0.6180688097
87	0.6180687817
88	0.6180687817
89	0.6180687817
90	0.6180687807
91	0.6180687681
92	0.6180687679
93	0.6180687676
94	0.6180687554
95	0.6180687552
96	0.6180687552
97	0.6180687518
98	0.6180687392
99	0.6180687385
