iter	Passed	Remaining
0	13	1364
1	26	1317
2	40	1301
3	52	1256
4	67	1283
5	82	1287
6	92	1230
7	107	1236
8	122	1235
9	138	1248
10	155	1254
11	170	1250
12	185	1240
13	198	1217
14	217	1231
15	229	1206
16	238	1165
17	252	1149
18	264	1128
19	277	1111
20	290	1094
21	308	1093
22	318	1064
23	333	1056
24	349	1047
25	360	1026
26	371	1004
27	384	988
28	399	977
29	414	967
30	430	957
31	445	946
32	456	927
33	472	916
34	488	906
35	503	894
36	519	883
37	533	870
38	547	856
39	562	843
40	577	831
41	592	817
42	606	804
43	620	789
44	635	776
45	649	762
46	664	749
47	678	734
48	693	721
49	708	708
50	722	694
51	736	680
52	750	665
53	765	651
54	778	637
55	792	622
56	806	608
57	822	595
58	836	581
59	849	566
60	864	552
61	877	538
62	891	523
63	906	509
64	921	496
65	936	482
66	950	468
67	966	454
68	981	440
69	995	426
70	1011	413
71	1028	400
72	1044	386
73	1061	373
74	1077	359
75	1091	344
76	1108	331
77	1124	317
78	1139	302
79	1155	288
80	1169	274
81	1184	260
82	1198	245
83	1211	230
84	1225	216
85	1241	202
86	1257	187
87	1273	173
88	1290	159
89	1304	144
90	1318	130
91	1332	115
92	1346	101
93	1360	86
94	1374	72
95	1388	57
96	1403	43
97	1417	28
98	1432	14
99	1447	0
